Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
469,Bruce Hurst*,33,SDP,NL,0.0,31,83,67,3,9,1,0,0,6,0,0,4,23,.134,.183,.149,.332,-6,.174,-36,10,0,0,12,0,0,1,,hurstbr01
470,Dennis Martínez,37,MON,NL,0.0,32,83,72,8,11,4,0,0,2,0,0,1,24,.153,.164,.208,.373,5,.169,-32,15,1,0,10,0,0,1/H,ASCYA-5MVP-20,martide01
471,Frank Viola*,31,NYM,NL,0.0,35,83,71,2,9,2,0,0,1,0,0,2,13,.127,.151,.155,.306,-13,.168,-32,11,1,0,10,0,0,1,AS,violafr01
472,Eric Bullock*,31,MON,NL,-0.3,73,82,72,6,16,4,0,1,6,6,1,9,13,.222,.305,.319,.624,77,.303,72,23,3,0,0,1,0,H/739,,bulloer01
473,Bud Black*,34,SFG,NL,0.2,35,80,71,3,13,3,0,0,6,0,0,0,20,.183,.183,.225,.408,17,.197,-4,16,0,0,9,0,0,1/H,,blackbu02
474,Kenny Lofton*,24,HOU,NL,0.0,20,79,74,9,15,1,0,0,0,2,1,5,19,.203,.253,.216,.469,38,.247,47,16,0,0,0,0,0,8/H,,loftoke01
475,John Smiley*,26,PIT,NL,-0.1,33,79,70,3,7,0,0,0,3,0,0,3,24,.100,.137,.100,.237,-32,.155,-36,7,1,0,6,0,0,1,ASCYA-3MVP-14,smilejo01
476,Tommy Greene,24,PHI,NL,0.9,38,78,71,4,19,2,0,2,7,0,0,4,15,.268,.307,.380,.687,94,.325,96,27,0,0,3,0,0,1/H,,greento01
477,José Rijo,26,CIN,NL,0.2,31,78,67,7,14,0,0,0,5,0,1,2,13,.209,.232,.209,.441,23,.211,4,14,0,0,9,0,0,1/H,CYA-4,rijojo01
478,John Smoltz,24,ATL,NL,-0.2,38,78,65,7,7,3,0,0,3,0,0,5,28,.108,.171,.154,.325,-10,.158,-45,10,0,0,8,0,0,1/H,,smoltjo01
479,Andy Benes,23,SDP,NL,-0.4,33,77,62,4,2,0,0,1,1,0,0,6,29,.032,.143,.081,.224,-36,.126,-66,5,2,2,7,0,0,1,CYA-6,benesan01
480,Luis Alicea#,25,STL,NL,-0.3,56,76,68,5,13,3,0,0,0,0,1,8,19,.191,.276,.235,.512,46,.239,39,16,0,0,0,0,0,H4/56,,alicelu01
481,Greg Brock*,34,MIL,AL,0.6,31,75,60,9,17,4,0,1,6,1,1,14,9,.283,.419,.400,.819,131,.373,133,24,1,0,1,0,1,3/H,,brockgr01
