,matchId,gameDurationSeconds,championBlueTop,championBlueJG,championBlueMid,championBlueBot,championBlueSup,championRedTop,championRedJG,championRedMid,championRedBot,championRedSup,goldDifference,blueGrubCount,redGrubCount,blueDragonCount,redDragonCount,blueBaronCount,redBaronCount,blueAtakhan,redAtakhan,winner
0,NA1_5221088938,1624,799,62,516,29,800,31,200,3,21,89,3665,6,0,3,0,0,0,1,0,0
0,NA1_5245168223,1638,126,76,1,157,7,103,35,3,222,111,-899,3,3,1,2,0,0,1,0,1
0,NA1_5245147503,1540,79,80,69,21,432,86,106,103,110,43,-2173,1,5,2,1,0,0,0,1,1
0,NA1_5240458101,2229,516,11,268,222,31,48,5,103,800,12,-258,4,2,3,3,2,0,1,0,0
0,NA1_5236843859,1421,86,72,517,800,497,103,107,910,221,117,-4052,3,3,0,3,0,0,0,1,1
0,NA1_5236810897,1877,78,143,246,81,7,777,141,103,22,80,-555,2,1,0,4,1,0,0,1,1
0,NA1_5236721542,1971,893,141,7,81,267,126,121,103,22,43,554,3,3,2,3,1,0,1,0,0
0,NA1_5236697997,1998,103,254,45,222,412,114,234,112,517,267,2108,4,2,3,2,1,0,0,1,1
0,NA1_5236671437,2048,14,203,777,99,78,36,80,103,15,7,4306,3,3,3,1,1,0,1,0,1
0,NA1_5236628898,1743,897,79,103,42,147,86,876,131,222,26,-2173,3,3,1,3,0,1,0,1,1
0,NA1_5236612040,1738,6,876,131,42,267,103,77,58,22,412,1094,6,0,2,2,1,0,0,1,0
0,NA1_5235147754,1609,43,254,103,119,201,39,106,84,42,111,3777,1,5,4,0,1,0,1,0,0
0,NA1_5234666364,2110,897,80,105,81,25,86,203,103,42,526,6182,6,0,2,4,1,1,0,1,1
0,NA1_5234657999,986,86,77,103,236,201,133,91,3,202,111,-996,6,0,1,1,0,0,0,0,1
0,NA1_5245050743,2133,24,35,1,67,117,14,107,61,202,59,-1712,2,4,1,4,0,0,0,1,0
0,NA1_5245009244,1657,114,163,91,800,43,24,876,69,110,32,-331,6,0,1,2,0,0,1,0,0
